,State,Avg. Precipitation,Avg. Temp,Unnamed: 3,inches of water,degrees F,level_0,index,state,state_abbr,storm_injuries,storm_deaths,lung_cancer,Unnamed: 0,index_left,NO2 Mean,NO2 1st Max Value,NO2 AQI,O3 Mean,O3 1st Max Value,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 AQI,CO Mean,CO 1st Max Value,CO AQI,average_AQI,index_right,WEEK,REGION,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths),Avg. Precipitation %,Avg. Temp %,Unnamed: 3 %,inches of water %,degrees F %,level_0 %,index %,state %,state_abbr %,storm_injuries %,storm_deaths %,lung_cancer %,Unnamed: 0 %,index_left %,NO2 Mean %,NO2 1st Max Value %,NO2 AQI %,O3 Mean %,O3 1st Max Value %,O3 AQI %,SO2 Mean %,SO2 1st Max Value %,SO2 AQI %,CO Mean %,CO 1st Max Value %,CO AQI %,average_AQI %,index_right %,WEEK %,REGION %,Pneumonia and Influenza Deaths %,All Deaths %,<1 year (all cause deaths) %,1-24 years (all cause deaths) %,25-44 years %,45-64 years (all cause deaths) %,65+ years (all cause deaths) %
43,AL,5668.2,627.9789474,,56.682,62.79789474,0,0,alabama,AL,104,28,62.29104478,0,5,20.41153917,35.15095385,33.0670042,0.030012394,0.038836112,33.92974545,2.869748203,4.989835524,6.264219707,0.519555423,0.836776615,7.983674681,20.31116101,43,26.28790241,6,8.635014764,105.172905,2.258065118,2.656695748,6.919303657,23.69289222,69.51447392,95.02506867,76.08877146,,95.02506867,76.08877146,,,,,47.48858447,75.67567568,65.25907563,,,93.7546822,91.70466087,91.07302079,47.91555661,42.01991535,46.26220796,73.8420686,80.99205753,80.0109357,87.28326611,94.02224378,95.3055312,80.8568622,,,,47.2354762,37.73151009,47.71250927,43.23660534,32.73022736,35.68387701,38.19255171
0,AK,3941.182927,329.0731707,,39.41182927,32.90731707,1,1,alaska,AK,0,0,60.54761905,1,22,18.84822882,32.86264781,30.93808514,0.030583972,0.038973832,33.96657194,3.830741689,6.027383391,7.607898578,0.563585567,0.841645584,8.15343446,20.16649753,,,,,,,,,,,60.48670131,0,,60.48670131,0,,,,,0,0,61.98611232,,,84.46670731,83.58305206,83.04385139,50.89581404,42.72472217,46.47741611,100,100,99.61509261,96.13280525,94.73230573,98.053852,79.23476004,,,,-9.771711091,-7.26068772,-3.632726132,-4.79515055,-8.874440006,-6.428869466,-7.529396062
41,AZ,1310.369942,623.1445087,,13.10369942,62.31445087,2,2,arizona,AZ,17,9,42.58,2,39,17.25599269,36.55729923,34.50439492,0.025926075,0.043643478,37.42274096,1.25426617,2.490974622,3.550529006,0.396801148,0.744844336,7.421470934,20.72478395,153,26.98008022,8,9.538893939,150.2685831,3.515121977,4.84955762,11.17514407,31.61756951,97.32544201,7.873448819,74.85812779,,7.873448819,74.85812779,,,,,7.762557078,24.32432432,28.25518999,,,75.00687791,96.69603302,96.49410692,26.60913374,66.6224738,66.6747181,29.86917097,35.21276796,40.41842631,62.61110605,80.61537808,86.20375067,85.49478922,,,,53.20276298,57.02311061,76.29622008,82.88247228,58.31991579,49.76953284,56.4847369
40,AR,5098.280374,605,,50.98280374,60.5,3,3,arkansas,AR,20,5,71.68533333,3,56,15.24276038,29.13923489,27.49768684,0.029773476,0.04145392,35.46927735,3.168138418,4.592985044,5.399704523,0.582826472,0.8226106,7.92696065,19.07340734,98,26.30994674,7,2.376393599,74.00459498,2.398542798,2.530220251,5.092141054,17.76741191,46.09708257,83.62732761,70.23930312,,83.62732761,70.23930312,,,,,9.132420091,13.51351351,82.89513617,,,63.04581647,70.36799137,70.06846811,46.66981737,55.4170177,55.25898749,81.9641536,73.72173167,67.39773496,100,91.95635504,94.38736111,66.9780111,,,,5.916914658,24.39793554,50.90677479,40.9499904,21.74379056,25.15167825,22.79016593
38,CA,2323.02122,595.5543767,,23.2302122,59.55543767,4,4,california,CA,81,31,52.52982456,4,73,10.85554872,21.33056504,20.13277425,0.027191026,0.038273349,32.62692107,1.124352488,2.209495583,3.010041684,0.352139669,0.552034194,5.601054001,15.34269775,208,26.37174005,9,11.64147647,119.9677101,2.075799113,2.789474299,7.394826055,24.41469342,83.25871221,28.12531685,67.83484684,,28.12531685,67.83484684,,,,,36.98630137,83.78378378,46.93416791,,,36.98041509,42.65362066,42.29186921,33.20469833,39.13987468,38.64870952,26.33296262,30.05605418,32.53276367,53.63467603,52.49707504,56.73216589,25.14580804,,,,67.08372548,44.06061926,43.56803582,45.63717641,35.58946756,36.96683692,47.23258768
12,CO,1637.224138,460.375,,16.37224138,46.0375,5,5,colorado,CO,7,16,39.66545455,5,90,16.84888821,36.92524223,34.88001051,0.023262722,0.038911849,33.36251281,1.02621076,3.919355484,5.307258779,0.415327625,0.731368337,6.873226802,20.10575223,263,26.20235394,8,4.183967849,64.54347462,1.89279887,1.772524968,4.655130398,13.83131581,42.35226231,14.41015912,33.42389361,,14.41015912,33.42389361,,,,,3.196347032,43.24324324,22.78366336,,,72.58817955,98.00192876,97.9107325,12.72217942,42.40751304,42.94739064,23.66157658,61.38079558,66.04895966,66.33470921,78.65011723,77.3279689,78.55362696,,,,17.85027281,20.3505376,39.40686682,27.25123136,19.11611531,18.15549494,20.32707491
18,CT,4980.888889,496.1111111,,49.80888889,49.61111111,6,6,connecticut,CT,2,3,52.2375,6,107,16.60398132,32.0237799,30.22786916,0.029507899,0.041203182,35.16391635,2.276447694,4.43553007,4.726441972,0.483457098,0.687725549,6.201998129,19.0800564,318,25.96091006,1,4.026303105,37.28437011,0.740515421,0.811788135,2.276779735,7.49911627,25.94166319,81.2796321,42.52079639,,81.2796321,42.52079639,,,,,0.913242009,8.108108108,46.38538195,,,71.13313318,80.6057593,80.36528811,45.28507578,54.13382097,53.47450638,57.69262094,70.8371466,57.57489338,80.02792896,72.28550837,66.46113264,67.05256658,,,,16.80939172,8.689292507,13.20555648,9.88158071,4.81547277,6.900376255,9.533286031
33,DE,4591.666667,556.3333333,,45.91666667,55.63333333,7,7,delaware,DE,4,0,64.2,8,141,19.25436628,33.5851834,31.70895889,0.032837613,0.042727625,36.65538972,2.897398474,4.725719289,5.596619459,0.505925473,0.77417947,7.485922987,20.36172277,428,24.95418612,5,1.51195406,16.97244538,0.159760338,0.2652257,1.475914821,3.616921814,11.4475002,73.49563256,57.85082766,,73.49563256,57.85082766,,,,,1.826484018,0,68.84279031,,,86.87966039,86.14746054,85.95118405,62.64649434,61.93543167,62.19043951,74.59470002,76.15343142,70.27070661,84.54380708,84.89344239,87.24719523,81.42380791,,,,0.210002968,0,0,0,0,0,0
49,FL,5446.689873,721.9113924,,54.46689873,72.19113924,9,9,florida,FL,36,33,66.70447761,10,175,8.293475796,19.10040412,17.99669579,0.025694527,0.039261127,33.543201,0.519980051,1.838178381,2.620864546,0.404840896,0.559089084,5.657569294,14.95458266,482,26.54005351,5,7.360109238,126.3854106,2.528964169,3.28736403,9.356048701,27.68133551,83.44616222,90.59511933,100,,90.59511933,100,,,,,16.43835616,89.18918919,73.54448949,,,21.75856935,34.73837931,34.23569829,25.40182231,44.1950059,44.00330368,9.882140662,23.25349958,26.85470335,64.22700048,53.52591893,57.64711851,20.79389888,,,,38.81872416,46.80606449,53.87237394,54.6387785,47.38198598,42.77310442,47.3558797
44,GA,5056.147287,631.4883721,,50.56147287,63.14883721,10,10,georgia,GA,16,3,64.78417722,11,192,21.09714135,37.34693571,35.26785,0.028740961,0.041411321,35.52217143,2.656933647,4.853962143,5.432886713,0.55984008,0.877766714,8.273645192,21.12413833,537,26.2140981,5,4.493650746,104.3281392,3.065806434,3.201382373,9.433399158,25.90994516,62.67941163,82.78471403,76.98212259,,82.78471403,76.98212259,,,,,7.305936073,8.108108108,69.93947632,,,97.82799742,99.4985946,99.37346024,41.2861943,55.19900967,55.56809208,68.04932533,78.50284861,67.88186021,95.38000658,100,100,89.97272381,,,,19.89475697,37.37012547,66.07941449,53.08427232,47.84708192,39.62456046,33.69690722
