Rec,State,Year,NO2 Mean,NO2 1st Max Value,NO2 AQI,O3 Mean,O3 1st Max Value,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 AQI,CO Mean,CO 1st Max Value,CO AQI,average_AQI,WEEK,REGION,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
0,Alabama,2000,25.9423,42.7453,40.4157,0.0408353,0.0501655,43.1472,4.30707,6.65621,7.93535,0.721985,1.094762,10.577235,25.51887125,26.54193548387097,6.0,9.574193548387097,101.47741935483872,1.9483870967741936,2.4387096774193546,7.2387096774193544,19.6,70.06451612903226
1,Alabama,2001,24.836147833566432,41.22643076923077,38.94596083916084,0.03867071888111888,0.04789962237762238,41.30370909090909,4.0196056405594405,6.322935104895104,7.601123941474879,0.6814990846153846,1.043164923076923,10.058522936258566,24.477329201950845,26.5,6.0,8.512820512820513,101.0576923076923,1.891025641025641,2.6153846153846154,7.038461538461538,20.46153846153846,68.76923076923077
2,Alabama,2002,23.72999566713287,39.70756153846154,37.47622167832168,0.03650613776223776,0.04563374475524476,39.46021818181818,3.7321412811188814,5.98966020979021,7.266897882949759,0.6410131692307692,0.9915678461538462,9.53981087251713,23.435787153901686,26.55483870967742,6.0,9.161290322580646,101.30967741935484,1.7032258064516128,2.5935483870967744,6.754838709677419,20.677419354838708,69.38064516129032
3,Alabama,2003,22.6238435006993,38.18869230769231,36.00648251748252,0.03434155664335664,0.04336786713286714,37.616727272727275,3.444676921678322,5.6563853146853145,6.932671824424638,0.6005272538461538,0.9399707692307693,9.021098808775696,22.394245105852534,27.0,6.0,7.880503144654088,97.64779874213836,1.7672955974842768,2.3270440251572326,6.39622641509434,20.38364779874214,66.38364779874213
4,Alabama,2004,21.517691334265734,36.66982307692307,34.536743356643356,0.03217697552447553,0.04110198951048952,35.773236363636364,3.1572125622377625,5.323110419580419,6.598445765899518,0.5600413384615385,0.8883736923076924,8.502386745034261,21.352703057803375,26.5,6.0,8.679487179487179,100.93589743589743,1.8525641025641026,2.371794871794872,6.782051282051282,22.262820512820515,67.49358974358974
5,Alabama,2005,20.411539167832167,35.15095384615384,33.067004195804195,0.030012394405594407,0.038836111888111896,33.929745454545454,2.869748202797203,4.989835524475524,6.264219707374397,0.519555423076923,0.8367766153846155,7.983674681292825,20.311161009754215,26.43225806451613,6.0,8.12258064516129,103.88387096774194,2.2129032258064516,2.6129032258064515,6.529032258064516,23.81290322580645,68.69032258064516
6,Alabama,2006,19.3053870013986,33.63208461538461,31.597265034965034,0.02784781328671329,0.03657023426573427,32.086254545454544,2.5822838433566435,4.656560629370629,5.929993648849276,0.47906950769230766,0.7851795384615385,7.464962617551391,19.269618961705063,26.5,6.0,8.006410256410257,103.32051282051282,2.269230769230769,2.5641025641025643,7.083333333333333,23.78846153846154,67.6025641025641
7,Alabama,2007,18.199234834965036,32.11321538461538,30.127525874125872,0.025683232167832172,0.03430435664335665,30.242763636363634,2.294819483916084,4.323285734265734,5.595767590324156,0.4385835923076923,0.7335824615384616,6.946250553809956,18.228076913655904,26.5,6.0,7.833333333333333,102.98076923076923,2.5961538461538463,2.878205128205128,6.615384615384615,24.256410256410255,66.58974358974359
8,Alabama,2008,17.09308266853147,30.59434615384615,28.65778671328671,0.023518651048951053,0.032038479020979026,28.399272727272727,2.0073551244755246,3.990010839160839,5.261541531799035,0.3980976769230769,0.6819853846153847,6.427538490068521,17.18653486560675,24.930555555555557,6.0,8.916666666666666,109.40972222222223,2.9791666666666665,2.9166666666666665,7.145833333333333,26.21527777777778,70.13888888888889
9,Alabama,2009,15.986930502097902,29.07547692307692,27.18804755244755,0.021354069930069934,0.029772601398601405,26.555781818181817,1.719890765034965,3.656735944055944,4.927315473273914,0.3576117615384615,0.6303883076923078,5.908826426327086,16.144992817557593,25.6734693877551,6.0,10.60204081632653,126.01020408163265,3.0510204081632653,3.0306122448979593,7.928571428571429,31.377551020408163,80.58163265306122
10,Alabama,2010,14.880778335664337,27.556607692307686,25.71830839160839,0.019189488811188815,0.027506723776223783,24.71229090909091,1.4324264055944056,3.3234610489510485,4.593089414748794,0.31712584615384615,0.578791230769231,5.390114362585651,15.103450769508436,27.217391304347824,6.0,10.652173913043478,124.3913043478261,3.2282608695652173,2.9456521739130435,7.173913043478261,30.565217391304348,80.46739130434783
11,Alabama,2011,13.774626169230771,26.037738461538456,24.24856923076923,0.0170249076923077,0.02524084615384616,22.8688,1.1449620461538461,2.9901861538461536,4.2588633562236735,0.27663993076923077,0.5271941538461541,4.871402298844217,14.06190872145928,28.609929078014183,6.0,8.375886524822695,104.97872340425532,2.2056737588652484,2.4184397163120566,6.574468085106383,26.113475177304963,67.60992907801419
12,Alabama,2012,12.668474002797204,24.518869230769226,22.77883006993007,0.01486032657342658,0.022974968531468538,21.02530909090909,0.8574976867132866,2.6569112587412587,3.9246372976985526,0.23615401538461533,0.4755970769230772,4.352690235102782,13.020366673410123,26.5,6.0,6.967948717948718,93.85897435897436,1.955128205128205,1.8397435897435896,5.3076923076923075,23.205128205128204,61.506410256410255
13,Alabama,2013,11.562321836363637,22.999999999999993,21.30909090909091,0.012695745454545462,0.020709090909090913,19.181818181818183,0.5700333272727272,2.3236363636363633,3.5904112391734326,0.1956681,0.42400000000000027,3.8339781713613474,11.978824625360968,26.5,6.0,7.858974358974359,105.53205128205128,2.0064102564102564,2.108974358974359,6.371794871794871,25.942307692307693,69.07692307692308
